ds,yhat,yhat_lower,yhat_upper
2025-07-23,173.70290190230233,150.6511871231147,197.19492431281955
2025-07-24,174.53655956807563,150.50972096573815,198.9293438453747
2025-07-25,174.82849297936045,150.22572998832266,199.6058612598383
2025-07-26,175.6712197951694,153.31981432695002,200.64456599169532
2025-07-27,176.66300378658107,154.19897672956841,201.20743868063343
2025-07-28,177.08180585760286,151.12800516858823,199.67878190960462
2025-07-29,175.24652445724215,151.81431895055462,199.96471505141858
2025-07-30,176.45476689227823,153.51957660744063,199.92454367302912
2025-07-31,177.28842455805759,154.02858019649832,201.5747796372578
2025-08-01,177.58035796934104,154.62604744546493,201.48327815691897
2025-08-02,178.42308478514954,154.13562676780913,202.9304808610894
2025-08-03,179.4148687765615,159.4006115893129,201.72899534651125
2025-08-04,179.83367084758012,155.88872113150515,202.35125177543088
2025-08-05,177.9983894472205,154.3000465234719,202.01412583742027
2025-08-06,179.20663188225916,155.92173993634808,203.08679243266852
2025-08-07,180.04028954803482,157.05873636830552,204.20558223758243
2025-08-08,180.33222295932052,155.65920631170476,202.34828543790366
2025-08-09,181.17494977512965,157.59254033874691,204.7069144990181
2025-08-10,182.16673376653887,158.09021071032376,205.73358410417543
2025-08-11,182.58553583755844,159.4078324275565,206.17877568107295
2025-08-12,180.75025443719824,156.91086373532605,204.1268997770953
2025-08-13,181.9584968722342,158.44990071405854,206.05267556387875
2025-08-14,182.7921545380121,157.96951750761306,205.13828899726752
2025-08-15,183.08408794930108,158.69395050893542,207.14963834120596
2025-08-16,183.92681476510577,160.61538457560465,207.52627775692613
2025-08-17,184.9185987565193,161.76398864693982,207.49735329191316
2025-08-18,185.33740082753576,160.93114359172637,210.1241744175811
2025-08-19,183.50211942718013,161.35214910421487,205.9666552783042
2025-08-20,184.71036186221514,161.97844669488506,206.2985063591822
2025-08-21,185.54401952799404,160.24418842020347,208.8669756943445
2025-08-22,185.83595293927652,163.03954706711187,207.92488076892073
2025-08-23,186.67867975508585,162.22909599309722,209.56824377877828
2025-08-24,187.67046374649604,162.97765342091904,210.9056025284094
2025-08-25,188.08926581751305,164.63819555188564,209.72899790949637
2025-08-26,186.25398441715853,161.91216173350406,209.8372643202524
2025-08-27,187.46222685219433,164.34787541210193,212.75316880664872
2025-08-28,188.29588451797133,165.05639884316844,212.00724168358997
2025-08-29,188.58781792925708,164.33416732018125,213.29497488271292
2025-08-30,189.430544745066,166.05152369359172,215.548799064059
2025-08-31,190.42232873647646,166.43687159382074,213.4136730571621
2025-09-01,190.84113080749137,166.80759271027492,213.0578975840129
2025-09-02,189.0058494071375,166.59501237418684,209.45009771722857
2025-09-03,190.2140918421736,166.44877204268732,212.674448330488
2025-09-04,191.04774950794973,166.7945202734872,214.77474568246035
2025-09-05,191.33968291923767,167.93744552047636,215.61307041927873
2025-09-06,192.1824097350438,168.53407199812688,215.84123411699971
2025-09-07,193.1741937264554,169.2458076439721,217.48115725097935
2025-09-08,193.59299579746863,171.30084335366618,217.99911291953194
2025-09-09,191.7577143971188,167.70345300664306,214.35780231493314
2025-09-10,192.96595683215284,168.6451700425655,218.61640222119755
2025-09-11,193.799614497927,170.10614211095248,216.7238251291304
2025-09-12,194.09154790921457,171.4933449832453,217.67519771369425
2025-09-13,194.9342747250262,171.20706778561345,219.43707310828222
2025-09-14,195.92605871643426,171.15931823002668,219.33004039321958
2025-09-15,196.34486078745292,172.5020006785914,219.7572226491929
2025-09-16,194.5095793870972,171.36963159051842,217.73371778597897
2025-09-17,195.71782182213374,173.09739403115415,219.0868098672329
2025-09-18,196.55147948790665,172.3098025680506,219.61756340045406
2025-09-19,196.84341289919516,175.46701134744913,220.5279318048145
2025-09-20,197.68613971499997,174.44355893205076,220.23078582063582
2025-09-21,198.67792370641317,175.51596806374883,223.0746277534466
2025-09-22,199.09672577743018,176.10432074167312,223.7480483442186
2025-09-23,197.26144437707487,173.01208853998273,220.8975486007583
2025-09-24,198.4696868121113,173.7566437048366,222.08680361487345
2025-09-25,199.3033444778862,174.23800557919833,222.13627337829345
2025-09-26,199.59527788917057,174.9650550279648,223.281129555868
2025-09-27,200.4380047049801,174.88308885051816,224.51647037311773
2025-09-28,201.4297886963936,178.60281509777735,226.39243322390774
2025-09-29,201.84859076740852,176.62819520115062,226.47005607665952
2025-09-30,200.01330936705256,176.7836457804444,224.72431282907402
2025-10-01,201.22155180208807,177.01857382847535,225.58201148018867
2025-10-02,202.05520946786578,176.13374847266866,226.45804799162354
2025-10-03,202.34714287915116,178.064408712685,225.47589667282352
